3160,53.0,41.193387276,348600
3170,51.0,41.325245384,349700
3180,51.0,41.448337568,350800
3190,54.0,41.582406034,351900
3200,53.0,41.713434243,353000
3210,51.0,41.82725245,354100
3220,53.0,41.958918967,355200
3230,53.0,42.083794676,356300
3240,53.0,42.215116516,357400
3250,51.0,42.350257124,358500
3260,51.0,42.476831522,359600
3270,54.0,42.621114501,360700
3280,51.0,42.757825849,361800
3290,53.0,42.900588529,362900
3300,53.0,43.029770477,364000
3310,51.0,43.183372814,365100
3320,53.0,43.317493316,366200
3330,51.0,43.44447225,367300
3340,53.0,43.565475979,368400
3350,51.0,43.688039219,369500
3360,54.0,43.842798819,370600
3370,51.0,43.989122469,371700
3380,51.0,44.101087665,372800
3390,51.0,44.22393658,373900
3400,53.0,44.39212674,375000
3410,51.0,44.507122308,376100
3420,52.0,44.642498115,377200
3430,53.0,44.789238624,378300
3440,53.0,44.904784625,379400
3450,51.0,45.021303392,380500
3460,53.0,45.138257028,381600
3470,53.0,45.258458271,382700
3480,53.0,45.392963792,383800
3490,54.0,45.549376089,384900
3500,54.0,45.672837469,386000
3510,53.0,45.803329719,387100
3520,53.0,45.965250847,388200
3530,51.0,46.067170346,389300
3540,51.0,46.180108044,390400
3550,53.0,46.337596567,391500
3560,53.0,46.453094209,392600
3570,51.0,46.581472059,393700
3580,51.0,46.701898326,394800
3590,52.0,46.848217921,395900
3600,51.0,46.98625158,397000
3610,50.0,47.120127161,398100
3620,53.0,47.230468676,399200
3630,53.0,47.349594241,400300
3640,52.0,47.491961644,401400
3650,52.0,47.59951806,402500
3660,53.0,47.738203753,403600
3670,53.0,47.897795758,404700
3680,53.0,48.045280162,405800
3690,50.0,48.166474248,406900
3700,53.0,48.291045002,408000
3710,51.0,48.412643251,409100
3720,50.0,48.527745954,410200
3730,50.0,48.653524652,411300
3740,52.0,48.783771063,412400
3750,51.0,48.906642928,413500
3760,51.0,49.029337087,414600
3770,53.0,49.189349797,415700
3780,57.0,49.329330657,416800
3790,54.0,49.458139714,417900
3800,54.0,49.579156706,419000
3810,54.0,49.707838306,420100
3820,54.0,49.848393569,421200
3830,54.0,49.984056903,422300
3840,55.0,50.1070052,423400
3850,54.0,50.243369753,424500
3860,58.0,50.370511469,425600
3870,56.0,50.501182896,426700
3880,56.0,50.633912256,427800
3890,56.0,50.756153238,428900
3900,57.0,50.884765328,430000
3910,56.0,50.998239356,431100
3920,56.0,51.141372961,432200
3930,56.0,51.280499458,433300
3940,55.0,51.427956518,434400
3950,55.0,51.557634462,435500
3960,56.0,51.684595514,436600
3970,55.0,51.846947468,437700
3980,56.0,51.990859401,438800
3990,56.0,52.144443431,439900
4000,56.0,52.302092257,441000
4010,55.0,52.417710631,442100
4020,56.0,52.542741265,443200
4030,56.0,52.686849034,444300
4040,57.0,52.824106984,445400
4050,55.0,52.946766916,446500
4060,56.0,53.062436085,447600
4070,55.0,53.190136683,448700
4080,56.0,53.327312834,449800
4090,55.0,53.473432913,450900
4100,55.0,53.589480243,452000
4110,55.0,53.736024664,453100
4120,57.0,53.871445591,454200
4130,56.0,54.020958232,455300
4140,57.0,54.161191111,456400
4150,54.0,54.270787446,457500
4160,58.0,54.406577694,458600
4170,55.0,54.556508555,459700
4180,55.0,54.693663274,460800
4190,57.0,54.832177325,461900
4200,55.0,54.957378284,463000
4210,55.0,55.121072311,464100
4220,55.0,55.281249736,465200
4230,55.0,55.402286173,466300
4240,55.0,55.537750352,467400
4250,56.0,55.647954742,468500
4260,55.0,55.765598122,469600
4270,55.0,55.900133108,470700
4280,57.0,56.023950924,471800
4290,56.0,56.163790593,472900
4300,56.0,56.280545408,474000
4310,56.0,56.409158149,475100
4320,56.0,56.554893387,476200
4330,55.0,56.663501959,477300
4340,58.0,56.783319792,478400
4350,55.0,56.906800069,479500
4360,55.0,57.007843866,480600
4370,56.0,57.130471819,481700
4380,58.0,57.265867445,482800
4390,56.0,57.390830826,483900
4400,55.0,57.531292209,485000
4410,56.0,57.65364021,486100
4420,56.0,57.79955292,487200
4430,56.0,57.912466706,488300
4440,56.0,58.028587149,489400
4450,55.0,58.166362666,490500
4460,56.0,58.308524092,491600
4470,56.0,58.445727458,492700
4480,56.0,58.574434627,493800
4490,57.0,58.72744912,494900
4500,59.0,58.870060171,496000
4510,56.0,58.994879793,497100
4520,57.0,59.149849658,498200
4530,59.0,59.272166507,499300
4540,56.0,59.401565348,500400
4550,57.0,59.537889723,501500
4560,56.0,59.637821101,502600
4570,56.0,59.758040127,503700
4580,56.0,59.867013568,504800
4590,56.0,60.0155422,505900
4600,56.0,60.131115814,507000
4610,57.0,60.256280785,508100
4620,56.0,60.376363111,509200
4630,56.0,60.489863429,510300
4640,56.0,60.619693633,511400
4650,56.0,60.759474903,512500
4660,56.0,60.876566978,513600
4670,56.0,60.986830064,514700
4680,56.0,61.096670472,515800
4690,55.0,61.214573414,516900
4700,57.0,61.316928548,518000
4710,56.0,61.44160483,519100
